Resistant_F6
Fipronil
concentration	n	mortality
0.004000	35	0
0.004000	34	0
0.004000	33	0
0.008000	28	0
0.008000	31	0
0.008000	31	0
0.016000	28	4
0.016000	32	5
0.016000	28	3
0.032000	30	13
0.032000	34	18
0.032000	34	18
0.064000	28	24
0.064000	28	18
0.064000	31	25
0.125000	29	28
0.125000	33	27
0.125000	32	29
0.250000	28	28
0.250000	29	29
0.250000	33	33
